key,english,category,flagged_term,removed_from,leaked_token,hi,corrected_hi,bn,corrected_bn,mr,corrected_mr,kn,corrected_kn,ta,corrected_ta,te,corrected_te
dashLearningCycleCompanion,Your learning cycle companion.,cycle,cycle,,,आपका लर्निंग साइकिल साथी।,,আপনার শিখনচক্রের সহচর ।,,तुमची शिकण्याची सायकल सहयोगी.,,ಅಂತ ಕೇಳಿ.,,உங்கள் கற்கும் சுழற்சி தோழி.,,మీరు నేర్చుకునేవి వలయాకారి.,
dashLogOvulation,Log Ovulation,cycle,ovulation,,,लॉग ओव्यूलेशन,,লগ ডিম্বস্ফোটন,,लॉग ओव्हुलेशन,,ಕಾರ್ಯಚರಿ (ಲಾಗ್) ಅನುಕ್ರಮ (ಎಮುಲೇಶನ್),,பதிவேடு ஏற்றம்,,లాగ్ ఎడిషన్,
dashOvulationLoggedSuccessfully,Ovulation logged successfully!,cycle,ovulation,,,ओव्यूलेशन सफलतापूर्वक लॉग किया गया!,,ডিম্বস্ফোটন সফলভাবে নথিভুক্ত হয়েছে!,,ओव्हुलेशन यशस्वीरित्या लॉग इन केले!,,ಉತ್ಥಾಪಣೆ ಸಫಲವಾಗಿ ನಿರ್ಗಮಿಸಿದೆ!,,காப்பகத்தில் வெற்றி தோல்வி அடைந்தது!,,అచేతనం సమర్ధవంతంగా దింపబడింది!,
dashPatternsTitle,CYCLE PATTERNS & INSIGHTS,cycle,cycle,,,चक्र के पैटर्न और टिप्पणियाँ,,চক্রের প্যাটার্ন ও পর্যবেক্ষণ,,चक्राचे नमुने आणि निरीक्षणे,,ಚಕ್ರದ ಮಾದರಿಗಳು ಮತ್ತು ಅವಲೋಕನಗಳು,,சுழற்சி முறைகள் மற்றும் கவனிப்புகள்,,చక్ర నమూనాలు మరియు పరిశీలనలు,
dashRecentCycleHistory,RECENT CYCLE HISTORY,cycle,cycle,,,हाल के चक्र का इतिहास,,সাম্প্রতিক চক্রের ইতিহাস,,अलीकडील चक्र इतिहास,,ಇತ್ತೀಚಿನ ಚಕ್ರ ಚರಿತ್ರೆ,,சமீபத்திய சுழற்சி வரலாறு,,ఇటీవలి సైకిల్ చరిత్ర,
dashSCompletelyNormalFirst,It's completely normal for your first few cycles to be irregular. Your body is gently finding its own natural rhythm.,cycle,cycles,,,शुरुआती कुछ मासिक धर्म चक्रों का अनियमित होना बिल्कुल सामान्य है। आपका शरीर धीरे-धीरे अपनी प्राकृतिक लय प्राप्त कर रहा है।,,আপনার প্রথম কয়েকটি চক্র অনিয়মিত হওয়া সম্পূর্ণ স্বাভাবিক । আপনার শরীর আস্তে আস্তে তার নিজস্ব প্রাকৃতিক ছন্দ খুঁজে পাচ্ছে ।,,तुमच्या पहिल्या काही चक्रांसाठी अनियमित असणे पूर्णपणे सामान्य आहे. तुमचे शरीर हळूहळू त्याच्या नैसर्गिक लयीचा शोध घेत आहे.,,ನಿಮ್ಮ ಮೊದಲ ಕೆಲವು ಚಕ್ರಗಳು ಸರಿಯಾಗಿರುವುದಿಲ್ಲ. ನಿಮ್ಮ ದೇಹವು ಮೆಲ್ಲಮೆಲ್ಲನೆ ಅದರ ಸ್ವಾಭಾವಿಕ ನಯವನ್ನು ಹುಡುಕುತ್ತಿದೆ.,,உங்கள் முதல் சில சுழற்சிகள் ஒழுங்கற்றதாக இருக்க இது முற்றிலும் இயல்பானது. உங்கள் உடல் அதன் இயற்கைத் தோராயமாக இருக்கிறது.,,మీ శరీరం నెమ్మదిగా దాని సహజ వాయిద్యాన్ని కనుగొంటుంది.,
dashSendCycleArticlesParent,Send cycle articles to parent or consult conversation guides.,cycle,cycle,,,माता - पिता को साइकिल लेख भेजें या बातचीत गाइड से परामर्श करें।,,পিতামাতার কাছে চক্র নিবন্ধ পাঠান বা কথোপকথন গাইডের সাথে পরামর্শ করুন ।,,पालकांना सायकल लेख पाठवा किंवा संभाषण मार्गदर्शकांचा सल्ला घ्या.,,ಈ ಲೇಖನಗಳಲ್ಲಿ ಕೆಲವು ಹೆಸರುಗಳನ್ನು ಬದಲಾಯಿಸಲಾಗಿದೆ.,,என்று உங்களையே கேட்டுக்கொள்ளுங்கள்.,,ఈ ఆర్టికల్‌లో మూడు ప్రశ్నలకు జవాబులు తెలుసుకుంటాం.,
fpsInsightsForYourPhase,Insights for your phase,cycle,phase,,,आपके चरण के लिए जानकारी,,আপনার পর্বের জন্য অন্তর্দৃষ্টি,,(not translated),,ನಿಮ್ಮ ಸನ್ನಿವೇಶಕ್ಕೆ ಸಂಬಂಧಪಟ್ಟ ಒಳನೋಟಗಳು,,உங்கள் நிலைக்கான உட்பார்வை,,మీ పరిస్థితేను గురించిన అంతర్దృష్టి,
hhYourCycle,YOUR CYCLE,cycle,cycle,,,आपका चक्र,,আপনার চক্র,,(not translated),,ನಿಮ್ಮ ಚಕ್ರ,,உங்கள் சுழற்சி,,మీ సైకిల్,
oHowWouldYouDescribe,How would you describe your cycle?,cycle,cycle,,,आप अपने चक्र का वर्णन कैसे करेंगी?,,আপনি আপনার চক্রকে কীভাবে বর্ণনা করবেন?,,तुम्ही तुमच्या चक्राचे वर्णन कसे कराल?,,ನಿಮ್ಮ ಚಕ್ರವನ್ನು ಹೇಗೆ ವಿವರಿಸುತ್ತೀರಿ?,,உங்கள் சுழற்சியை எப்படி விவரிப்பீர்கள்?,,మీ చక్రాన్ని మీరు ఎలా వర్ణిస్తారు?,
periMyChangingCycle,MY CHANGING CYCLE,cycle,cycle,,,मेरा बदलता चक्र,,আমার পরিবর্তিত চক্র,,(not translated),,ನನ್ನ ಬದಲಾವಣೆ ಚಕ್ರ,,என் சுழற்சி,,నాయెత్తు వ్యవధి,
periRecentCycleIntervals,Recent Cycle Intervals,cycle,cycle,,,हाल के चक्र अंतराल,,সাম্প্রতিক চক্রের ব্যবধান,,(not translated),,ಇತ್ತೀಚಿನ ಆವರ್ತನ ಬದಲಾವಣೆಗಳು,,சமீபத்திய சுழற்சி இடைவெளிகள்,,ఇటీవలి రొటేషన్ విరామం,
plPairingWithYourPartner,"Pairing with your partner enables live AI insights, phase tracking, and support advice on the Learn page.",cycle,phase,,,"अपनी साथी से जुड़ने पर लाइव AI जानकारी, चरण ट्रैकिंग और Learn पेज पर सहयोग संबंधी सुझाव मिलते हैं।",,"সঙ্গীর সঙ্গে যুক্ত হলে লাইভ AI তথ্য, পর্যায় ট্র্যাকিং এবং Learn পাতায় সহায়তার পরামর্শ পাওয়া যায়।",,"जोडीदाराशी जोडल्यावर थेट AI माहिती, टप्पा नोंदणी आणि Learn पानावर आधाराचे सल्ले मिळतात.",,"ಸಂಗಾತಿಯೊಂದಿಗೆ ಜೋಡಿಯಾದರೆ ನೇರ AI ಮಾಹಿತಿ, ಹಂತ ಟ್ರ್ಯಾಕಿಂಗ್ ಮತ್ತು Learn ಪುಟದಲ್ಲಿ ಬೆಂಬಲ ಸಲಹೆಗಳು ಸಿಗುತ್ತವೆ.",,"துணையுடன் இணைந்தால் நேரலை AI தகவல்கள், நிலை கண்காணிப்பு மற்றும் Learn பக்கத்தில் ஆதரவு ஆலோசனைகள் கிடைக்கும்.",,"భాగస్వామితో జతకూడితే ప్రత్యక్ష AI సమాచారం, దశ ట్రాకింగ్ మరియు Learn పేజీలో మద్దతు సూచనలు లభిస్తాయి.",
sLutealRecoveryActionChecklist,Luteal Recovery Action Checklist,cycle,luteal,,,ल्यूटियल रिकवरी कार्य सूची,,লুটিয়াল রিকভারি কাজের তালিকা,,ल्युटियल रिकव्हरी कृती यादी,,ಲ್ಯೂಟಿಯಲ್ ಚೇತರಿಕೆ ಕಾರ್ಯಪಟ್ಟಿ,,லூட்டியல் மீட்பு செயல் பட்டியல்,,లూటియల్ కోలుకునే పనుల జాబితా,
sqHowWouldYouDescribe,How would you describe your cycle?,cycle,cycle,,,आप अपने चक्र का वर्णन कैसे करेंगी?,,আপনি আপনার চক্রকে কীভাবে বর্ণনা করবেন?,,तुम्ही तुमच्या चक्राचे वर्णन कसे कराल?,,ನಿಮ್ಮ ಚಕ್ರವನ್ನು ಹೇಗೆ ವಿವರಿಸುತ್ತೀರಿ?,,உங்கள் சுழற்சியை எப்படி விவரிப்பீர்கள்?,,మీ చక్రాన్ని మీరు ఎలా వర్ణిస్తారు?,
tourHomeBody,"Your day at a glance: cycle, check-ins and what to expect. Log how you feel here.",cycle,cycle,,,"आपका दिन एक नज़र में: चक्र, चेक-इन और आगे क्या उम्मीद करें। यहाँ दर्ज करें कि आप कैसा महसूस कर रही हैं।",,"এক নজরে আপনার দিন: চক্র, চেক-ইন এবং কী আশা করবেন। আপনি কেমন বোধ করছেন তা এখানে লিখুন।",,"तुमचा दिवस एका नजरेत: चक्र, चेक-इन आणि पुढे काय अपेक्षित आहे. तुम्हाला कसे वाटते ते इथे नोंदवा.",,"ನಿಮ್ಮ ದಿನ ಒಂದೇ ನೋಟದಲ್ಲಿ: ಚಕ್ರ, ಚೆಕ್-ಇನ್ ಮತ್ತು ಏನನ್ನು ನಿರೀಕ್ಷಿಸಬೇಕು. ನೀವು ಹೇಗೆ ಅನಿಸುತ್ತಿದೆ ಎಂದು ಇಲ್ಲಿ ದಾಖಲಿಸಿ.",,"உங்கள் நாள் ஒரே பார்வையில்: சுழற்சி, செக்-இன் மற்றும் என்ன எதிர்பார்க்கலாம். நீங்கள் எப்படி உணர்கிறீர்கள் என்பதை இங்கே பதிவு செய்யுங்கள்.",,"మీ రోజు ఒక్క చూపులో: చక్రం, చెక్-ఇన్ మరియు ఏమి ఆశించాలి. మీరు ఎలా అనుభూతి చెందుతున్నారో ఇక్కడ నమోదు చేయండి.",
ttcNaturalCycleToCycleRhythm,Natural Cycle-to-Cycle Rhythm,cycle,cycle,,,प्राकृतिक चक्र - से - चक्र लय,,স্বাভাবিক চক্র থেকে চক্রের ছন্দ,,(not translated),,ನೈಸರ್ಗಿಕ ಆವರ್ತನದಿಂದ ಸಿಕ್ಲಿಕಲ್ Rhythm,,இயற்கை சுழற்சியிலிருந்து Cycle Rhythm,,సహజ ఆకారం నుండి Cycle Rhythm,
dashCycleOverview,CYCLE OVERVIEW,cycle + mt defect,cycle,kn te,Comment NAME OF TRANSLATORS,साइकिल की झलक,,চক্রের সংক্ষিপ্ত বিবরণ,,(not translated),,(not translated),,சுழற்சி விவரம்,,(not translated),
dashBasalBodyTemperatureBbt,BASAL BODY TEMPERATURE (BBT),fertility,bbt,,,शरीर का मूल तापमान (बीबीटी),,বেসাল বডি টেম্পারেচার (BBT),,मूलभूत शरीराचे तापमान (बीबीटी),,ಬಾಸ್ಟಲ್‌ ದೇಹ ಉಷ್ಣತೆ (ಬಿಟ್‌),,பாஸ்டல் உடலின் வெப்பநிலை (bt),,బాసల్‌ శరీర ఉష్ణోగ్రత (బిట్‌),
dashFertilityJourney,Your Fertility Journey,fertility,fertility,,,आपकी प्रजनन यात्रा,,আপনার উর্বরতা যাত্রা,,तुमचा प्रजनन प्रवास,,ನಿಮ್ಮ ಅಭ್ಯರ್ಥಿ ಪ್ರಯಾಣ,,உங்கள் அரிய வாழ்க்கைப் பயணம்,,మీ అధీనం పయనం,
oAreYouCurrentlyReceiving2,Are you currently receiving fertility treatment?,fertility,fertility,,,क्या आपका अभी प्रजनन उपचार चल रहा है?,,আপনার কি বর্তমানে প্রজনন চিকিৎসা চলছে?,,तुमच्यावर सध्या प्रजनन उपचार सुरू आहेत का?,,ನಿಮಗೆ ಈಗ ಫಲವತ್ತತೆ ಚಿಕಿತ್ಸೆ ನಡೆಯುತ್ತಿದೆಯೇ?,,உங்களுக்கு தற்போது கருவுறுதல் சிகிச்சை நடக்கிறதா?,,మీకు ప్రస్తుతం సంతానోత్పత్తి చికిత్స జరుగుతోందా?,
oHowAreYouTracking,How are you tracking fertility?,fertility,fertility,,,आप प्रजनन क्षमता को कैसे ट्रैक कर रही हैं?,,আপনি প্রজনন ক্ষমতা কীভাবে নথিভুক্ত করছেন?,,तुम्ही प्रजननक्षमता कशी नोंदवता?,,ನೀವು ಫಲವತ್ತತೆಯನ್ನು ಹೇಗೆ ದಾಖಲಿಸುತ್ತಿದ್ದೀರಿ?,,கருவுறுதலை எப்படிக் கண்காணிக்கிறீர்கள்?,,మీరు సంతానోత్పత్తిని ఎలా ట్రాక్ చేస్తున్నారు?,
sqAreYouUndergoingFertility,Are you undergoing fertility assistance?,fertility,fertility,,,क्या आप प्रजनन सहायता ले रही हैं?,,আপনি কি প্রজনন সহায়তা নিচ্ছেন?,,तुम्ही प्रजनन सहाय्य घेत आहात का?,,ನೀವು ಫಲವತ್ತತೆ ನೆರವು ಪಡೆಯುತ್ತಿದ್ದೀರಾ?,,நீங்கள் கருவுறுதல் உதவி பெறுகிறீர்களா?,,మీరు సంతానోత్పత్తి సహాయం పొందుతున్నారా?,
sqHowAreYouTracking,How are you tracking fertility?,fertility,fertility,,,आप प्रजनन क्षमता को कैसे ट्रैक कर रही हैं?,,আপনি প্রজনন ক্ষমতা কীভাবে নথিভুক্ত করছেন?,,तुम्ही प्रजननक्षमता कशी नोंदवता?,,ನೀವು ಫಲವತ್ತತೆಯನ್ನು ಹೇಗೆ ದಾಖಲಿಸುತ್ತಿದ್ದೀರಿ?,,கருவுறுதலை எப்படிக் கண்காணிக்கிறீர்கள்?,,మీరు సంతానోత్పత్తిని ఎలా ట్రాక్ చేస్తున్నారు?,
sqHowLongHaveYou,How long have you been trying to conceive?,fertility,conceive,,,आप कब से गर्भधारण की कोशिश कर रही हैं?,,আপনি কতদিন ধরে গর্ভধারণের চেষ্টা করছেন?,,तुम्ही किती काळापासून गर्भधारणेचा प्रयत्न करत आहात?,,ಎಷ್ಟು ಸಮಯದಿಂದ ಗರ್ಭಧಾರಣೆಗೆ ಪ್ರಯತ್ನಿಸುತ್ತಿದ್ದೀರಿ?,,எவ்வளவு காலமாக கருத்தரிக்க முயற்சி செய்கிறீர்கள்?,,మీరు ఎంతకాలంగా గర్భధారణకు ప్రయత్నిస్తున్నారు?,
ttcPauseFertilityTracking,Pause Fertility Tracking,fertility,fertility,,,प्रजनन ट्रैकिंग रोकें,,ফার্টিলিটি ট্র্যাকিং বন্ধ করুন,,(not translated),,ಈ ಸಮಸ್ಯೆಯನ್ನು ಬಗೆಹರಿಸುವುದು ಹೇಗೆಂದು ನಾನು ನಿರ್ಧರಿಸಿದೆ.,,இடைநிலைப் போக்கை நிறுத்துதல்,,ఇంటెన్సివ్‌ ఎగ్జిక్యూటివ్‌ ట్రీట్‌మెంట్‌,
dashEmpoweredPostMenopauseWellness,EMPOWERED POST-MENOPAUSE WELLNESS CARDS,menopause,menopause,,,रजोनिवृत्ति के बाद वेलनेस कार्ड को सशक्त बनाना,,ক্ষমতায়িত মেনোপজ-পরবর্তী সুস্থতা কার্ড,,(not translated),,ಸುಧಾರಿತ ಸುಮಧುರ ಕಾರ್ಡುಗಳು,,சக்தியூட்டும் பின்தங்கக்கூடிய துணுக்கு அட்டைகள்,,కాప్చర్ పోస్ట్-ప్రెసిషన్ వుడ్రస్‌ కార్డులు,
dashConfirmCorrectPeriodStart,Confirm or correct your period start and end dates below.,menstruation,period,,,नीचे अपने पीरियड के शुरू और खत्म होने की तारीखों को कन्फ़र्म या सही करें।,,নিচে আপনার পিরিয়ড শুরু এবং শেষের তারিখগুলি নিশ্চিত করুন বা সংশোধন করুন ।,,खाली तुमच्या कालावधीच्या सुरुवातीच्या आणि समाप्तीच्या तारखांची पुष्टी करा किंवा दुरुस्त करा.,,ನಿಮ್ಮ ಅವಧಿ ಆರಂಭ ಹಾಗು ಕೊನೆಯ ದಿನಾಂಕಗಳನ್ನು ಖಚಿತಪಡಿಸಿರಿ ಅಥವಾ ಸರಿಪಡಿಸಿರಿ.,,உங்கள் காலாவதி மற்றும் முடிவு தேதிகளை உறுதி செய்யவும் அல்லது சரிசெய்யவும்.,,మీ కాలము ప్రారంభము మరియు ముగింపు తేదీలను నిర్ధారించుము లేదా సరిచేయు.,
dashFirstPeriodKitChecklist,FIRST PERIOD KIT CHECKLIST,menstruation,period,,,फर्स्ट पीरियड किट चेकलिस्ट,,প্রথম পিরিয়ড কিট চেকলিস্ট,,फर्स्ट पीरियड किट चेकलिस्ट,,ಶ. ಪೂ.,,முதல் கால அட்டவணை,,సా. శ.,
dashFirstPeriodKitStatus,FIRST PERIOD KIT STATUS,menstruation,period,,,पहली अवधि की किट की स्थिति,,ফার্স্ট পিরিয়ড কিট স্ট্যাটাস,,प्रथम कालावधी किट स्थिती,,ಮೊದಲ ಅವಧಿಯ ಉಪಘಟಕ,,முதல் கால அளவு,,మొదటి వ్యవధి కిట్ స్థితి,
dashFlowLevel,FLOW LEVEL,menstruation,flow,,,रक्तस्राव स्तर,,রক্তস্রাবের মাত্রা,,रक्तस्राव पातळी,,ಹರಿವಿನ ಮಟ್ಟ,,பாய்வு அளவு,,ప్రవాహ స్థాయి,
dashHowDoITrack,How do I track if I haven't got my period yet?,menstruation,period,,,"अगर मुझे अभी तक मेरा पीरियड नहीं मिला है, तो मैं कैसे ट्रैक करूँ?",,আমার পিরিয়ড এখনও না হলে আমি কীভাবে ট্র্যাক করব?,,जर मला अद्याप माझा कालावधी मिळाला नसेल तर मी ट्रॅक कसा करू?,,ನನ್ನ ಕಾಲಾವಧಿ ಇನ್ನೂ ಬಂದಿಲ್ಲದಿದ್ದರೆ ನಾನು ಹೇಗೆ ಡ್ಯಾಡಿ ಹೋಗುತ್ತೇನೆ?,,நான் இன்னும் என் காலம் இல்லை என்றால் நான் எப்படி கண்காணிக்க வேண்டும்?,,నేను ఇంకా నా కాలం వచ్చింది లేదు ఉంటే ఎలా ట్రాక్ లేదు?,
dashLogEditPeriod,Log / Edit Period,menstruation,period,,,लॉग / एडिट अवधि,,লগ / এডিট পিরিয়ড,,लॉग / संपादन कालावधी,,ದಾಖಲೆ / ಸಂಪಾದಿಸುವ ಸಮಯ,,லாக் / திருத்த நேரம்,,లాగ్ / సరిచేయు కాలము,
dashLogPeriod,Log period,menstruation,period,,,मासिक धर्म दर्ज करें,,মাসিক নথিভুক্ত করুন,,मासिक पाळी नोंदवा,,ಋತುಚಕ್ರ ದಾಖಲಿಸಿ,,மாதவிடாயைப் பதிவு செய்,,పీరియడ్ నమోదు చేయండి,
dashNextPeriodMayArrive,"Your next period may arrive within the next few weeks. Because your cycles vary, this is only an estimate.",menstruation,period,,,"आपकी अगली अवधि अगले कुछ हफ़्तों में आ सकती है। चूँकि आपके चक्र अलग - अलग होते हैं, इसलिए यह केवल एक अनुमान है।",,"আপনার পরবর্তী পিরিয়ড আগামী কয়েক সপ্তাহের মধ্যে আসতে পারে । যেহেতু আপনার চক্রগুলি পরিবর্তিত হয়, এটি কেবল একটি অনুমান ।",,"तुमचा पुढचा टप्पा येत्या काही आठवड्यांत येऊ शकतो. तुमच्या चक्रात बदल होत असल्यामुळे, हा फक्त एक अंदाज आहे.",,ನಿಮ್ಮ ಮುಂದಿನ ಅವಧಿಯು ಮುಂದಿನ ಕೆಲವು ವಾರಗಳಲ್ಲಿ ತಲಪಬಹುದು.,,அடுத்த சில வாரங்களுக்குள் உங்கள் அடுத்த காலம் வரக்கூடும்.,,మీ తర్వాతి వారంలో వచ్చే అవకాశం మీకు కొన్ని వారాలకే రావచ్చు.,
dashPeriodEndDateOptional,PERIOD END DATE (OPTIONAL),menstruation,period,,,अवधि खत्म होने की तारीख (ज़रूरी नहीं),,পিরিয়ড শেষ হওয়ার তারিখ (ঐচ্ছিক),,कालावधी समाप्तीची तारीख (ऐच्छिक),,ಅವಧಿ ಅಂತ್ಯಗೊಳ್ಳುವ ದಿನಾಂಕ (ಐಚ್ಛಿಕ),,காலாவதியான முடிவு தேதி (தேவைப்பட்டால்),,కాలముగింపు చివరి తేదీ (ఐచ్చికం),
dashPeriodStartDate,PERIOD START DATE,menstruation,period,,,अवधि शुरू होने की तारीख,,পিরিয়ড শুরুর তারিখ,,कालावधी सुरू होण्याची तारीख,,ಅವಧಿ ಆರಂಭಗೊಳ್ಳುತ್ತಿರುವ ದಿನಾಂಕ,,துவக்க தேதி,,కాలముగింపు ప్రారంభ తేదీ,
fpnsLogAPeriodStart,Log a period start,menstruation,period,,,पीरियड शुरू होने पर लॉग इन करें,,একটি পিরিয়ড শুরু করুন,,(not translated),,ಒಂದು ಅವಧಿಯನ್ನು ನಮೂದಿಸು,,ஒரு துவக்கத்தை பதி,,పాస్ వర్డు మొదలుపెట్టు,
fpsNoPeriodLoggedYet,No period logged yet,menstruation,period,,,अभी तक कोई अवधि लॉग नहीं हुई है,,এখনও কোনও পিরিয়ড লগ ইন করা হয়নি,,(not translated),,ಇನ್ನೂ ಯಾವುದೆ ಅವಧಿಯು ದಾಖಲಾಗಿಲ್ಲ,,இன்னும் பதிவு செய்யப்பட்ட காலம் இல்லை,,ఇంకా ఏ సమయం నమోదు కాలేదు,
hhNoPeriodLoggedYet,No period logged yet,menstruation,period,,,अभी तक कोई अवधि लॉग नहीं हुई है,,এখনও কোনও পিরিয়ড লগ ইন করা হয়নি,,(not translated),,ಇನ್ನೂ ಯಾವುದೆ ಅವಧಿಯು ದಾಖಲಾಗಿಲ್ಲ,,இன்னும் பதிவு செய்யப்பட்ட காலம் இல்லை,,ఇంకా ఏ సమయం నమోదు కాలేదు,
